Track name,Artist name,Album,ISRC
Love & Hate,Michael Kiwanuka,Love & Hate,GBUM71600930
His Master's Voice,Monsters Of Folk,"Three Billboards Outside Ebbing, Missouri (Original Motion Picture Soundtrack)",USM880900090
Stay Alive,José González,The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture),USFM91300095
lovely (with Khalid),Billie Eilish,lovely (with Khalid),USUM71804190
ocean eyes,Billie Eilish,dont smile at me,US23A1500056
Something Just Like This,The Chainsmokers,Memories...Do Not Open,USQX91700278
A Sky Full of Stars,Coldplay,Ghost Stories,GBAYE1400217
I Need My Girl,The National,Trouble Will Find Me,GBAFL1300064
How You Like Me Now? - Raffertie Remix,The Heavy,How You Like Me Now? (Raffertie Remix),GBCFB1403001
Way down We Go,KALEO,A/B,USAT21502122
Kids in Love (feat. The Night Game),Kygo,Kids in Love,SEBGA1700442
I See You (feat. Billy Raffoul),Kygo,Kids in Love,SEBGA1700448
Never Let You Go (feat. John Newman),Kygo,Kids in Love,SEBGA1700443
Thread of Clouds,Blue Dot Sessions,Migration,ushm81825700
Restless Wind,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQN1500032
"Sometimes It's Something, Sometimes It's Nothing at All",Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQN1900001
Rosie,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQN1900002
Heart's on Fire,Passenger,Whispers,GBMQN1400003
Let Me Dream a While,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQ17000037
"always, i'll care",Jeremy Zucker,love is not dying,USUM72001551
Mr. Tambourine Man,Bob Dylan,Bringing It All Back Home,USSM19922515
Blame It on Me,George Ezra,Wanted on Voyage (Expanded Edition),GBARL1400476
Theme from Blinking Lights,Eels,Blinking Lights and Other Revelations,USVR90540601
Grey Lynn Park,The Veils,Troubles of the Brain - EP,GBQ5P1000005
Love Doesn't Last Too Long,The Weepies,Say I Am You,CAN110501056
Dancing in the Moonlight (Its Caught Me in Its Spotlight) - Recorded at Spotify Studios NYC,alt-J,Spotify Singles,GB5KW1702265
Every Teardrop Is a Waterfall,Coldplay,Mylo Xyloto,GBAYE1101193
Heroes (we could be),Alesso,Forever (Deluxe),USUM71411636
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),USEE11100768
Roses (feat. ROZES),The Chainsmokers,The Chainsmokers- Japan Special Edition,USQX91500801
Counting Stars,OneRepublic,Native,USUM71301306
Thinking out Loud,Ed Sheeran,x (Wembley Edition),GBAHS1400099
The Days,Avicii,The Days / Nights,CH3131340471
Youth,Daughter,If You Leave,USYAH1300029
Yeh Pal,Prateek Kuhad,Raat Raazi,INO131300070
No Lie,Sean Paul,Mad Love The Prequel,GBUM71604557
Rather Be (feat. Jess Glynne),Clean Bandit,New Eyes,GBAHS1300498
Stay With Me,Sam Smith,In The Lonely Hour (Japanese Edition),GBUM71308833
Holding On,Prateek Kuhad,In Tokens & Charms,usx9p1400902
Wake Me Up,Avicii,True,SEUM71301326
Oh Love,Prateek Kuhad,In Tokens & Charms,usx9p1400901
Lay Me Down,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),GBUM71500850
What Is Love,Dhruv Kapoor,What Is Love,QZK6F2044653
Baarishein,Anuv Jain,Baarishein,TCADK1712757
Alag Aasmaan,Anuv Jain,Alag Aasmaan,TCAEZ2083117
All My Tears,Ane Brun,Rarities,SEVVQ1300303
To Bring You My Love,PJ Harvey,To Bring You My Love,GBAAN9500033
Toxic,AP Dhillon,Toxic,QZMEN2023463
Takeover,AP Dhillon,Not by Chance,QZNWU2031534
Foreigns,AP Dhillon,Foreigns,QZNWU2031537
Tu Aake Dekhle,King,The Carnival,FRX762050882
Blinding Lights,The Weeknd,After Hours,USUG11904206
Riha,Anuv Jain,Riha,TCAEI1938061
Home,Edith Whiskers,Stop Stealing The Covers!,GBVHN2000009
I'll be With You,Johnny Lloyd,Raw Acoustic,GBFPN1848104
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],USRC11702155
Stayin' Alive,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),GBA077700130
Kahin To,Rashid Ali,Jaane Tu... Ya Jaane Na,INS180804914
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,No.6 Collaborations Project,GBAHS1900672
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Loveholic Arijit Singh,INS181501796
Blame (feat. John Newman),Calvin Harris,Motion,GBARL1400567
Jealous,Labrinth,Jealous,GBHMU1400291
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,USAT21207280
State Of The Art (A.E.I.O.U.),Jim James,Regions of Light and Sound of God,GBUM71207332
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),INV119800029
Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na,INS180804909
Pran,Ritviz,Pran,TCAFL2176915
Levels - Radio Edit,Avicii,Levels,SEUM71100962
Everglow,Coldplay,A Head Full of Dreams,GBAYE1500980
Happier,Ed Sheeran,÷ (Deluxe),GBAHS1700028
Paradise,Coldplay,Mylo Xyloto,GBAYE1101143
Demons,Imagine Dragons,Night Visions,USUM71201071
Believer,Imagine Dragons,Evolve,USUM71700626
Thunder,Imagine Dragons,Evolve,USUM71704167
Radioactive,Imagine Dragons,Night Visions,USUM71201074
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),USAT21601893
,,,
Kasoor,Prateek Kuhad,Kasoor,FRX202024247
cold/mess,Prateek Kuhad,cold/mess,USAT22006215
Tum Jab Paas,Prateek Kuhad,Tum Jab Paas - Single,QM4TX1796334
Tune Kaha,Prateek Kuhad,Tune Kaha,uscgh1647832
Saansein,Prateek Kuhad,Karwaan,INS181801626
"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,"Dil Beparvah (The Dewarists, Season 5)",FR10S1773710
Kadam,Prateek Kuhad,Karwaan,INS181801629
cold/mess (on piano),Prateek Kuhad,cold/mess (on piano),USAT22100299
Cold Shoulders,Prateek Kuhad,In Tokens & Charms (Deluxe Edition),USX9P1400909
Chammak Challo,Akon,Ra-One,INS181103370
Raat Raazi,Prateek Kuhad,Raat Raazi,INO131300067
Kaise Mujhe,Benny Dayal,Ghajini,INS180809766
Tum Se Hi,Pritam,Jab We Met,INS180705982
Tumse Milke Dil Ka,Sonu Nigam,Main Hoon Na,INS180461118
Delicate,Damien Rice,O,IEABD0000001
Hit The Ground,Lizz Wright,Dreaming Wide Awake,USGR10500426
rainy day lament,Joe Purdy,StompinGrounds,ushm20573777
Ain't No Sunshine,Bill Withers,Just As I Am,USSM10000372
It Ain't Me (with Selena Gomez),Kygo,It Ain't Me (with Selena Gomez),SEBGA1700015
Ain't No Reason,Brett Dennen,So Much More (Special Edition),USDMG0624001
We're Going to Be Friends,The White Stripes,White Blood Cells,GBBKS0100357
Shehron Ke Raaz,Prateek Kuhad,Shehron Ke Raaz,USAT22102178
Almost (Sweet Music),Hozier,"Wasteland, Baby!",IEACJ1800127
We'll Meet Again,Johnny Cash,American IV: The Man Comes Around,USDJ20200642
Brown Munde,AP Dhillon,Brown Munde,TCAFC2063050
The Business,Tiësto,The Business,CYA112000624
Happier Than Ever,Billie Eilish,Happier Than Ever,USUM72105936
Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition),GB28K1100036
"Cold, Cold World",Blaze Foley & the Beaver Valley Boys,"Cold, Cold World",uszpl0619001
"Cold, Cold World",Blaze Foley,Sittin' by the Road,USZPL1020007
Sultan,Vishal-Shekhar,Sultan,INY091600052
Lean On,Major Lazer,Peace Is The Mission (Extended),QMUY41500008
Going Home,Charlie Haden,Come Sunday,GBUM71110836
Death,White Lies,To Lose My Life ...,GBUM70811880
You're Somebody Else,flora cash,You're Somebody Else,SEXCG1700102
Cold Water,Major Lazer,Major Lazer Essentials,QMUY41600027
Don't You Worry Child - Radio Edit,Swedish House Mafia,Don't You Worry Child,GBAAA1200728
Helplessly Lost,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQN1900004
Maahi Ve,A.R. Rahman,Highway,INS181400105
Roobaroo,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),INS170500265
Raabta,Pritam,Agent Vinod,INS181200529
Saibo,Sachin-Jigar,Shor in the City (Original Motion Picture Soundtrack),INS171100070
Dil To Bachcha Hai,Rahat Fateh Ali Khan,Ishqiya,INS180907603
Aaftaab,The Local Train,Vaaqif,INO131603085
"Paper Cut, Chinese Burn",Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQN1900005
Where the Lights Hang Low,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",GBMQN1900006
Let It Go,James Bay,Chaos And The Calm,USUM71405265
You Are The Reason,Calum Scott,Only Human (Deluxe),USUM71710315
Wish You Were Here,Pink Floyd,Wish You Were Here,GBN9Y1100088
Sword from the Stone,Passenger,Songs for the Drunk and Broken Hearted (Deluxe),GBMQN2000070
,,,
Found,Jacob Banks,For My Friends,USUM72102263
Water Fountain,Alec Benjamin,Narrated For You,USAT21811720
Moral of the Story,Ashe,Moral of the Story,USQE91500820
It Will Rain,Bruno Mars,It Will Rain,USAT21102075
Saada Pyaar,AP Dhillon,Not by Chance,QZNWU2031536
Insane,AP Dhillon,Insane,TCAFN2107496
"Mileya Mileya (From ""Happy Ending)",Rekha Bhardwaj,Happy Ending (Original Motion Picture Soundtrack),GBSGZ1400215
Fly Me To The Moon - 2008 Remastered,Frank Sinatra,Nothing But The Best (2008 Remastered),USRH10723029
Arrogant,AP Dhillon,Arrogant,QZK6N1995321
Pyramid Song,Radiohead,Amnesiac,GBAYE0001578
"Ranjha (From ""Shershaah"")",Jasleen Royal,"Ranjha (From ""Shershaah"")",INS172102719
Baaki Baatein Peene Baad (Shots) (feat. Badshah),Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah),INS171501598
Pungi,Pritam,Agent Vinod,INS181200520
Ma Belle,AP Dhillon,Ma Belle,TCAFQ2183537
Lover,Diljit Dosanjh,MoonChild Era,TCAFS2127322
Gul,Anuv Jain,Gul,TCAFQ2183637
Feel So Close - Radio Edit,Calvin Harris,Feel So Close,GBARL1100748
Khairiyat,Pritam,Chhichhore,INS181904666
Sadi Gali,Lehmber Hussainpuri,Tanu Weds Manu,INS181100248
Gal Mitthi Mitthi,Amit Trivedi,Aisha (Original Motion Picture Soundtrack),INS171000197
"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra)",Ash King,A Gentleman,INS181701573
Jugnu,Badshah,Jugnu,INUM72100074
Udd Gaye,Ritviz,Ved,FRX201782605
Na Ja,Pav Dharia,Na Ja,INV111700211
Dildaara (Stand By Me),Shafqat Amanat Ali,Ra-One,INS181103371
Pichle Saat Dinon Mein (Album Version),Farhan Akhtar,Rock On,INS180908332
Nagada Nagada,Pritam,Jab We Met,INS180705984
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,GB28K1400058
Rolling in the Deep,Adele,21,GBBKS1000335
Levitating,Dua Lipa,Future Nostalgia,GBAHT1901299
Excuses,AP Dhillon,Excuses,TCAFN2187787
DESIRES,AP Dhillon,HIDDEN GEMS,TCAFX2133359
Yellow,Coldplay,Parachutes,GBAYE0000267
Shayad,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),INS172000162
Pope Is a Rockstar,SALES,SALES LP,TCACN1687807
Tum Ho Meri Jaan,Dhruv Kapoor,Tum Ho Meri Jaan,INO132102411
Loverboy,A-Wall,Loverboy,QZFZ41979172
Come With Me,Surfaces,Pacifico,QZJ842001019
Hookah Bar,Himesh Reshammiya,Khiladi 786,INS181204580
Pain,Josh A,Fearless,QZ4JJ1931907
Dead and Cold,SadBoyProlific,Dead and Cold,QZES71818655
And So It Goes,Billy Joel,Storm Front,USSM18900213
Old Town Road - Remix,Lil Nas X,7 EP,USSM11902498
Fall in Love with You.,Montell Fish,Fall in Love with You.,QZNWR2164926
"Doobey (From ""Gehraiyaan"")",OAFF,"Doobey (From ""Gehraiyaan"")",INS172104567
Forever,Chris Brown,Forever,USJI10800113
Desi Kalakaar,Yo Yo Honey Singh,Desi Kalakaar,INS181402052
Faasle,Aditya Rikhari,Faasle,FRX282191255
Har Ek Pal,Ashu Shukla,Har Ek Pal,QZK6P2040205
,,,
Majhail,AP Dhillon,Majhail,UK5PD2000005
Don't Test,Gurinder Gill,Don't Test,QZFZ72065071
WAR,AP Dhillon,HIDDEN GEMS,TCAFX2133377
Maula Mere Maula,Roop Kumar Rathod,Anwar,INH100629786
SPACESHIP,AP Dhillon,HIDDEN GEMS,TCAFX2133371
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,USUG11800685
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,USUG11800651
Hey Brother,Avicii,True,CH3131340084
Ambarsariya,Sona Mohapatra,Fukrey,INS181303807
Pal Behta Jaaye,Vismay Patel,Pal Behta Jaaye,FR96X2086850
Rosyln,Bon Iver,The Twilight Saga: New Moon (Original Motion Picture Soundtrack) [Deluxe],USAT20903243
Mauja Hi Mauja,Pritam,Jab We Met,INS180705981
Mast Kalandar,Saleem Shahzada,Heyy Babyy,INS180704095
Brown Rang,Yo Yo Honey Singh,International Villager,INM431101193
double take,Dhruv,double take,GBMJG1911043
Masakali,Mohit Chauhan,Delhi-6,INS180900091
Somewhere Only We Know,Reneé Dominique,Somewhere Only We Know,DEUM71901107
Rangi Saari,Kavita Seth,Rangi Saari,FR2X42039557
No Love,Shubh,Lit Everyday,TCAGC2217286
Fine By Me,Andy Grammer,Andy Grammer,USZXT1108633
Payphone,Maroon 5,Overexposed,USUM71203347
Coastline,Hollow Coves,Wanderlust,AUGSG1600007
Everything Trying,Damien Jurado,Caught In The Trees,US38W0817509
Often - Kygo Remix,The Weeknd,Often (Kygo Remix),USUG11500524
Often (Kygo Remix) - Slowed,Lethargic Sounds,Often (Kygo Remix),PLH492287246
Khwahish,Tanzeel Khan,Dastaan,FRX762175057
death bed (coffee for your head),Powfu,death bed (coffee for your head),USSM12000925
Dil Mera Muft Ka,Pritam,Agent Vinod,INS181200519
Glimpse of Us,Joji,Glimpse of Us,USWB12201789
SLOW DANCING IN THE DARK,Joji,BALLADS 1,ZZOPM1800452
Kangana Tera Nee - Slowed and Reverb,Pradabae,Kangana Tera Nee (Slowed and Reverb),UK6822204662
Beneath the Surface,Demons Of Ruby Mae,Demons of Ruby Mae,FR10S1805677
Aisay Kaisay,Hasan Raheem,Aisay Kaisay,QZFYY2036611
Baller,Shubh,Baller,QMBZ92275950
Jo Tu Na Mila,Asim Azhar,Jo Tu Na Mila,INUM71800036
,,,
Jiyein Kyun,Pritam,Dum Maaro Dum,INS181100868
Homage,Mild High Club,Skiptracing,US2S71673002
TERE TE,AP Dhillon,HIDDEN GEMS,TCAFX2133364
Iraaday,Rovalio,Iraaday,QZES62251642
O Humdum Suniyo Re,A.R. Rahman,Saathiya,INY090200019
Past Lives,BØRNS,Dopamine,USUM71512366
Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,INH100152390
Escapism.,RAYE,Escapism. / The Thrill Is Gone.,QMDA62217995
my ordinary life (slowed + reverb) - Slowed,чачкалица,my ordinary life (slowed + reverb) - Slowed,QZQGC2200362
My Ordinary Life,The Living Tombstone,My Ordinary Life,QZANL1777908
My Ordinary,X4NN3X,My Ordinary,AUBEC2174562
Revenge,XXXTENTACION,17,USUYG1156895
Collide (Solo Version),Justine Skye,Dark Side,QM24S2300477
Darling,D-Block Europe,PTSD,GB2DY1900476
Collide - Sped Up,VENOMOUS,Collide (Sped Up),QZEZZ2100767
Why not?...(sped up)...unforgettable,SpedUpGuy,Why not?...(sped up)...unforgettable,QZDA62263207
Unforgettable (Tik Tok Edit) - Remix,EDITKINGS,Unforgettable (Tik Tok Edit),ARIXB2204994
Kangana Tera Ni - sped up,IAMPRATHEEK,Kangana Tera Ni (sped up),DEP551973633
Moonlight,XXXTENTACION,?,USUG11800209
Unforgettable,French Montana,Jungle Rules,USSM11703478
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",USUM71210785
Cola,Lana Del Rey,Born To Die - The Paradise Edition,GBUM71205883
Daylight,David Kushner,Daylight,QZXDB2300005
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,GBUM71111565
The Night We Met,Lord Huron,Strange Trails,US53Q1200103
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),USUM72308543
Skinny Love,Bon Iver,"For Emma, Forever Ago",US38Y0811503
exile (feat. Bon Iver),Taylor Swift,folklore,USUG12002838
Flume,Bon Iver,"For Emma, Forever Ago",US38Y0811501
Re: Stacks,Bon Iver,"For Emma, Forever Ago",US38Y0811509
Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",GBK3W1500426
dog cuddles,dad sports,dog cuddles,QZES91951991
"Slow Motion (From ""Bharat"")",Shreya Ghoshal,"Slow Motion (From ""Bharat"")",INS181900934
"Psycho Saiyaan (From ""Saaho"")",Sachet Tandon,"Psycho Saiyaan (From ""Saaho"")",INS181904011
Saree Ke Fall Sa,Nakash Aziz,R...Rajkumar (Original Motion Picture Soundtrack),GBSGZ1300125
Anchor,Novo Amor,Bathing Beach,TCACI1562836
State Lines,Novo Amor,Birthplace,GB45A1800990
Be My Mistake,The 1975,A Brief Inquiry Into Online Relationships,GBK3W1800833
Electric Love,BØRNS,Dopamine,USUM71416307
Love Me Again,John Newman,Tribute,GBUM71301538
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,GBUM72304301
Hass Hass,Diljit Dosanjh,Hass Hass,INW262318603
Funk Song,Kidjaywest,Funk Song,QZNWY2094771
Fire,Beth Ditto,Fake Sugar,USUG11700401
All of the Stars,Hayd,All of the Stars,QZFZ72433759
Rivers and Roads,The Head And The Heart,The Head And The Heart,GBUM71101813
